ffti_num_peaks_1,ffti_num_peaks_10,ffti_num_peaks_11,ffti_num_peaks_12,ffti_num_peaks_13,ffti_num_peaks_14,ffti_num_peaks_15,ffti_num_peaks_16,ffti_num_peaks_17,ffti_num_peaks_18,ffti_num_peaks_19,ffti_num_peaks_2,ffti_num_peaks_20,ffti_num_peaks_3,ffti_num_peaks_4,ffti_num_peaks_5,ffti_num_peaks_6,ffti_num_peaks_7,ffti_num_peaks_8,ffti_num_peaks_9,ffti_range_-1000_-500,ffti_range_-1500_-1000,ffti_range_-2000_-1500,ffti_range_-2500_-2000,ffti_range_-3000_-2500,ffti_range_-3500_-3000,ffti_range_-4000_-3500,ffti_range_-500_0,ffti_range_0_500,ffti_range_1000_1500,ffti_range_1500_2000,ffti_range_2000_2500,ffti_range_2500_3000,ffti_range_3000_3500,ffti_range_3500_4000,ffti_range_500_1000,fftr_num_peaks_1,fftr_num_peaks_10,fftr_num_peaks_11,fftr_num_peaks_12,fftr_num_peaks_13,fftr_num_peaks_14,fftr_num_peaks_15,fftr_num_peaks_16,fftr_num_peaks_17,fftr_num_peaks_18,fftr_num_peaks_19,fftr_num_peaks_2,fftr_num_peaks_20,fftr_num_peaks_3,fftr_num_peaks_4,fftr_num_peaks_5,fftr_num_peaks_6,fftr_num_peaks_7,fftr_num_peaks_8,fftr_num_peaks_9,fftr_range_-1000_-500,fftr_range_-1500_-1000,fftr_range_-2000_-1500,fftr_range_-2500_-2000,fftr_range_-3000_-2500,fftr_range_-3500_-3000,fftr_range_-4000_-3500,fftr_range_-500_0,fftr_range_0_500,fftr_range_1000_1500,fftr_range_1500_2000,fftr_range_2000_2500,fftr_range_2500_3000,fftr_range_3000_3500,fftr_range_3500_4000,fftr_range_500_1000,num_peaks_1,num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_13,num_peaks_14,num_peaks_15,num_peaks_16,num_peaks_17,num_peaks_18,num_peaks_19,num_peaks_2,num_peaks_20,num_peaks_3,num_peaks_4,num_peaks_5,num_peaks_6,num_peaks_7,num_peaks_8,num_peaks_9,range_-1000_-500,range_-1500_-1000,range_-2000_-1500,range_-2500_-2000,range_-3000_-2500,range_-3500_-3000,range_-4000_-3500,range_-500_0,range_0_500,range_1000_1500,range_1500_2000,range_2000_2500,range_2500_3000,range_3000_3500,range_3500_4000,range_500_1000
50875,7075,6537,5989,5551,5188,4787,4546,4296,4073,3858,29764,3652,21128,16978,13492,11663,9998,8822,7939,19923,7691,2967,1560,991,751,604,37644,37646,7691,2967,1560,991,751,604,19923,50924,7114,6578,6010,5568,5206,4794,4540,4260,4038,3870,29816,3652,21300,17018,13448,11650,10050,8798,7978,19662,7594,3062,1584,998,704,538,38103,37768,7468,3074,1484,1010,764,626,19746,31171,5570,5125,4704,4266,3893,3542,3225,2974,2776,2607,19066,2486,13108,10303,8643,7641,6936,6430,5975,0,0,0,0,0,0,0,13830,136170,0,0,0,0,0,0,0
47642,7351,6265,5695,5361,5047,4742,4485,4219,4003,3826,29243,3669,21815,17159,13688,11810,10368,9363,8430,18723,6805,2760,1331,948,685,531,36285,36287,6805,2760,1331,948,685,531,18723,47382,7384,6240,5680,5306,5074,4766,4488,4234,4034,3822,29247,3624,21817,17007,13651,11793,10423,9336,8416,18813,6986,2656,1304,902,652,548,36432,36218,6874,2618,1326,798,714,574,18634,29485,5513,5163,4713,4317,3918,3558,3248,2997,2769,2608,17659,2481,12071,9551,8115,7281,6720,6256,5868,0,0,0,0,0,0,0,21300,128700,0,0,0,0,0,0,0
48845,7174,6586,6056,5598,5206,4869,4614,4345,4102,3934,30300,3765,21311,16715,13993,11859,9994,8807,7859,19363,7307,2828,1515,1017,776,658,37032,37034,7307,2828,1515,1017,776,658,19363,48991,7086,6474,5974,5496,5080,4776,4524,4326,4110,3946,30217,3740,21319,16555,13983,11731,9934,8760,7772,19320,7360,2864,1360,1018,840,684,36726,37279,7200,2950,1486,1052,792,602,19328,30474,5571,5203,4770,4349,3952,3629,3328,3064,2889,2713,18411,2576,12555,9880,8325,7451,6825,6383,5954,0,0,0,0,0,0,0,18029,131971,0,0,0,0,0,0,0
50941,7109,6491,6004,5547,5207,4876,4572,4328,4066,3850,29919,3670,21376,16778,13473,11585,10018,8770,7886,19841,7586,3013,1427,995,698,558,37978,37978,7586,3013,1427,995,698,558,19841,50844,7055,6459,5971,5503,5179,4817,4493,4259,4009,3841,29895,3647,21347,16671,13371,11541,10011,8709,7781,19740,7760,3042,1514,1034,672,578,38123,37322,7704,3128,1534,962,660,562,20034,31232,5409,4990,4576,4166,3811,3475,3177,2929,2759,2590,18680,2453,12631,9894,8409,7447,6793,6302,5840,0,0,0,0,0,0,0,14744,135256,0,0,0,0,0,0,0
49804,7014,6417,5883,5455,5112,4793,4511,4234,4027,3843,29700,3697,20840,16338,13306,11195,9688,8635,7758,20267,7590,3151,1536,961,749,547,37923,37925,7590,3151,1536,961,749,547,20267,49964,7036,6444,5886,5514,5152,4798,4529,4295,4062,3872,29698,3706,20814,16216,13356,11260,9812,8700,7842,19942,7910,3206,1608,960,736,520,38111,37988,7518,3226,1618,950,702,532,19964,31547,5367,4989,4621,4228,3844,3506,3224,2997,2793,2613,19193,2502,13097,10258,8630,7523,6826,6263,5798,0,0,0,0,0,0,0,12792,137208,0,0,0,0,0,0,0
50031,7028,6383,5936,5554,5114,4847,4556,4291,4092,3899,30902,3718,21501,16514,13591,11610,9830,8812,7910,20056,7828,3163,1571,1025,792,568,37050,37052,7828,3163,1571,1025,792,568,20056,49786,7033,6369,5881,5541,5155,4905,4631,4315,4085,3917,30972,3727,21426,16517,13601,11619,9857,8753,7861,19450,7756,3095,1642,970,730,642,37108,37682,7872,3196,1742,1030,734,610,19986,31013,5623,5225,4804,4391,3931,3583,3298,3052,2841,2654,18657,2516,12606,10022,8543,7611,6952,6449,6010,0,0,0,0,0,0,0,15600,134400,0,0,0,0,0,0,0
49593,7296,6425,5951,5505,5179,4813,4525,4240,4023,3866,30325,3683,22125,16750,13607,11522,9923,8888,8049,19826,7548,2990,1557,1020,743,575,37653,37655,7548,2990,1557,1020,743,575,19826,49670,7289,6409,5913,5461,5127,4735,4491,4255,4053,3877,30538,3685,22272,16638,13640,11573,9999,8911,8073,20220,7574,3052,1576,1032,764,574,37333,37378,7544,3008,1488,1034,700,624,19912,31130,5520,5120,4654,4268,3867,3537,3272,3014,2815,2662,18902,2538,12879,10096,8541,7593,6881,6386,5963,0,0,0,0,0,0,0,14543,135457,0,0,0,0,0,0,0
49736,7038,6439,6000,5629,5247,4918,4602,4351,4105,3883,30401,3701,21368,16373,13494,11455,9791,8663,7822,20020,7688,3087,1513,950,765,594,37752,37754,7688,3087,1513,950,765,594,20020,49658,7076,6438,6006,5600,5184,4826,4560,4296,4078,3904,30482,3694,21448,16398,13628,11521,9847,8671,7868,19877,7490,3176,1624,962,804,562,37590,37580,7780,3126,1546,1020,748,526,20242,31440,5391,5024,4601,4255,3861,3535,3248,2959,2802,2644,18900,2506,12878,10039,8489,7554,6849,6306,5806,0,0,0,0,0,0,0,15073,134927,0,0,0,0,0,0,0
49642,7068,6443,5960,5469,4996,4653,4412,4180,3952,3731,30026,3581,21399,16856,13402,11404,10043,8830,7941,19577,7630,3138,1578,992,748,593,37662,37664,7630,3138,1578,992,748,593,19577,49767,7107,6419,5913,5437,4945,4617,4369,4141,3917,3711,30109,3533,21375,16899,13415,11465,10089,8807,7937,19960,7554,3092,1602,952,746,608,37658,37146,7531,3112,1568,1066,754,626,19880,30552,5616,5201,4772,4343,3946,3588,3265,3018,2794,2631,18415,2482,12727,10039,8554,7589,6943,6438,6037,0,0,0,0,0,0,0,16389,133611,0,0,0,0,0,0,0
49914,7284,6721,6191,5708,5271,4875,4560,4323,4044,3823,30627,3642,20874,15977,13275,11246,9834,8813,8017,19788,7400,2949,1455,1025,771,597,37353,37355,7400,2949,1455,1025,771,597,19788,49731,7273,6723,6223,5727,5275,4831,4527,4233,3993,3761,30577,3612,20975,16041,13295,11145,9781,8825,8045,19674,7476,3000,1456,986,754,588,37390,37490,7252,2876,1572,994,748,598,19657,31048,5435,5030,4653,4229,3872,3543,3256,2983,2821,2633,18770,2505,12871,10095,8486,7454,6784,6263,5834,0,0,0,0,0,0,0,15759,134241,0,0,0,0,0,0,0
50232,7193,6615,6103,5466,5075,4772,4494,4248,4059,3828,29873,3623,21154,16619,13743,11601,9925,8899,7930,19853,7473,3056,1525,983,714,615,37238,37238,7473,3056,1525,983,714,615,19853,50171,7295,6600,6120,5480,5102,4740,4456,4224,4060,3848,30019,3664,21177,16575,13649,11565,9931,8999,8039,19380,7470,3114,1516,950,736,642,37466,37669,7410,3024,1544,944,734,528,19584,30014,5595,5226,4794,4358,3963,3566,3246,3012,2814,2656,18150,2533,12416,9781,8337,7478,6890,6413,5987,0,0,0,0,0,0,0,18859,131141,0,0,0,0,0,0,0
50589,7036,6499,6043,5528,5192,4881,4593,4331,4105,3893,30355,3716,20824,16399,13249,11089,9741,8561,7721,19441,7281,2924,1528,1026,789,633,37125,37127,7281,2924,1528,1026,789,633,19441,50627,7096,6484,6056,5512,5162,4846,4572,4304,4090,3884,30257,3686,20713,16443,13246,11206,9726,8590,7754,19484,7404,2990,1514,988,790,630,36956,37103,7290,2924,1486,1000,842,614,19436,30380,5481,5072,4693,4256,3849,3519,3240,3012,2836,2672,18374,2543,12496,9862,8386,7461,6807,6326,5897,0,0,0,0,0,0,0,16577,133423,0,0,0,0,0,0,0
52130,7236,6604,6115,5538,5177,4761,4547,4263,4079,3868,28959,3678,21293,16449,13733,11324,9935,8796,7841,19325,7197,2757,1393,891,694,561,36546,36546,7197,2757,1393,891,694,561,19325,51979,7220,6540,6112,5602,5252,4850,4638,4318,4108,3894,28949,3702,21187,16429,13679,11311,9919,8786,7874,19272,7114,2788,1338,948,700,526,36612,36824,7034,2728,1382,840,756,562,19225,30507,5569,5144,4745,4300,3897,3530,3198,2953,2751,2599,18376,2492,12504,9830,8323,7464,6822,6328,5931,3,0,0,0,0,0,0,17643,132354,0,0,0,0,0,0,0
49856,7127,6493,6023,5584,5213,4825,4551,4326,4097,3891,29733,3694,21580,16955,13457,11358,9915,8792,7904,20079,7654,3021,1537,1077,712,557,37911,37913,7654,3021,1537,1077,712,557,20079,50149,7127,6571,6089,5657,5247,4781,4495,4255,4025,3823,29747,3627,21733,16997,13437,11301,9949,8877,7915,20246,7526,3214,1568,1028,750,596,37854,37902,7680,3134,1582,1086,744,530,19797,31159,5515,5122,4637,4220,3866,3504,3225,2970,2758,2593,18803,2476,12838,10083,8568,7593,6918,6385,5924,0,0,0,0,0,0,0,15256,134744,0,0,0,0,0,0,0
49891,7064,6454,5879,5479,5112,4771,4478,4236,3991,3802,30333,3631,21390,16703,13827,11501,9935,8777,7824,20342,7866,3186,1554,952,662,495,37893,37895,7866,3186,1554,952,662,495,20342,49759,6981,6421,5851,5457,5133,4819,4545,4281,3985,3809,30159,3631,21453,16817,13819,11475,9915,8753,7733,20316,7996,3138,1604,1016,692,518,38194,37772,7916,2974,1552,952,692,538,20179,31230,5509,5128,4737,4325,3916,3574,3261,2987,2803,2668,18961,2550,12886,10119,8514,7563,6857,6358,5920,0,0,0,0,0,0,0,15546,134454,0,0,0,0,0,0,0
50179,7147,6565,6060,5573,5125,4826,4552,4302,4075,3860,29176,3678,21579,16942,14043,11510,9901,8582,7813,19902,7490,3024,1562,1010,768,571,37312,37314,7490,3024,1562,1010,768,571,19902,50214,7106,6532,6059,5599,5181,4849,4567,4343,4133,3877,29295,3710,21650,16956,14040,11558,9920,8638,7770,19426,7558,2990,1468,1012,782,594,37195,37852,7838,2882,1508,1026,754,604,19916,30814,5566,5151,4723,4237,3816,3478,3178,2954,2738,2610,18535,2482,12788,10098,8492,7591,6949,6395,5984,0,0,0,0,0,0,0,15975,134025,0,0,0,0,0,0,0
49486,6959,6403,5923,5538,5170,4838,4557,4336,4050,3815,29607,3599,21424,16721,13871,11802,10423,9201,7951,19927,7689,3080,1542,1037,792,638,37287,37289,7689,3080,1542,1037,792,638,19927,49448,6961,6383,5917,5531,5173,4883,4624,4396,4152,3868,29823,3616,21347,16729,13823,11715,10435,9121,7877,19504,7586,3026,1594,1042,796,560,37446,37935,7882,3094,1492,1046,752,550,19602,31213,5470,5011,4584,4183,3825,3513,3231,2994,2756,2616,18987,2510,12870,10031,8513,7572,6900,6343,5906,0,0,0,0,0,0,0,13653,136347,0,0,0,0,0,0,0
49618,7146,6467,5932,5519,5151,4846,4586,4363,4128,3926,29548,3723,21269,16568,13724,11766,10240,9058,7924,20160,7847,3255,1531,910,665,530,37770,37772,7847,3255,1531,910,665,530,20160,49749,7173,6525,5983,5555,5191,4829,4557,4335,4093,3901,29647,3709,21212,16490,13626,11761,10221,9085,7973,20196,7770,3118,1486,1000,714,490,38112,37779,7550,3332,1670,964,632,504,20142,31149,5539,5139,4762,4364,3934,3609,3303,3038,2821,2661,18954,2555,12892,10109,8577,7613,6915,6393,5923,0,0,0,0,0,0,0,15164,134836,0,0,0,0,0,0,0
49303,6847,6266,5817,5392,5052,4771,4512,4263,4048,3847,29495,3704,20997,16338,13326,11252,9580,8491,7552,19798,7353,3011,1512,996,809,689,37660,37660,7353,3011,1512,996,809,689,19798,49313,6852,6256,5772,5350,5014,4730,4512,4298,4082,3894,29479,3738,21027,16329,13281,11309,9737,8533,7605,19804,7528,2942,1490,1124,818,600,37318,37108,7666,2988,1540,1092,788,708,20233,30826,5477,5114,4685,4261,3912,3594,3301,3038,2803,2653,18500,2502,12713,9957,8472,7499,6831,6313,5928,0,0,0,0,0,0,0,14954,135046,0,0,0,0,0,0,0
53803,6533,6191,5542,5184,4950,4487,4323,3947,3748,3615,29803,3363,22154,19151,12199,11028,9291,8326,7757,16706,6158,2294,1064,694,535,394,31953,31953,6158,2294,1064,694,535,394,16706,53941,6480,6152,5498,5140,4902,4476,4318,3930,3766,3628,29677,3396,22065,19237,12200,10990,9250,8286,7788,16952,6216,2230,1050,636,486,424,31831,31586,6166,2274,1078,660,550,394,16888,25190,5759,5370,4962,4535,4099,3727,3414,3155,2941,2775,15387,2652,11105,9219,8076,7365,6894,6478,6117,362,178,101,32,18,10,6,30966,117600,169,89,50,29,11,0,375
50090,7162,6571,6020,5595,5230,4910,4572,4311,4074,3845,29936,3667,20960,16463,13412,11411,9930,8840,7922,19422,7392,3016,1561,1056,778,623,37195,37197,7392,3016,1561,1056,778,623,19422,49767,7182,6632,6128,5670,5270,4868,4512,4274,4056,3868,30044,3680,20898,16429,13383,11374,9904,8838,7926,19924,7422,2958,1558,1074,744,622,36838,37229,7224,2972,1482,1078,778,644,19488,28055,5934,5527,5098,4655,4111,3698,3314,3028,2805,2636,16542,2524,11512,9399,8303,7634,7128,6696,6313,0,0,0,0,0,0,0,24827,125173,0,0,0,0,0,0,0
50963,7130,6404,5928,5481,5148,4754,4504,4227,4040,3848,30142,3641,21773,16406,13403,11388,9782,8682,7783,19994,7693,3093,1573,969,705,547,37463,37463,7693,3093,1573,969,705,547,19994,51082,7170,6424,5944,5488,5136,4738,4468,4216,4002,3798,29970,3627,21804,16402,13478,11395,9814,8724,7862,19761,7438,3102,1602,970,690,546,37460,37816,7596,3016,1548,1112,740,544,20146,30726,5626,5225,4803,4343,3913,3553,3227,2965,2756,2582,18450,2442,12623,9948,8486,7592,6942,6476,5987,0,0,0,0,0,0,0,16621,133379,0,0,0,0,0,0,0
50210,7198,6496,5986,5531,5163,4809,4514,4231,4009,3795,29613,3609,21458,16626,13644,11531,10040,8825,7925,20909,8043,3226,1431,808,466,346,39059,39059,8043,3226,1431,808,466,346,20909,50289,7168,6468,6002,5540,5186,4846,4558,4276,4048,3820,29733,3636,21553,16555,13563,11507,10039,8792,7900,20894,8076,3008,1440,780,464,322,39198,39190,8088,3126,1388,698,456,318,21065,32417,5417,5016,4608,4179,3794,3492,3238,3018,2785,2623,19878,2484,13723,10664,8869,7762,6991,6392,5878,0,0,0,0,0,0,0,11003,138997,0,0,0,0,0,0,0
49561,7099,6484,5998,5576,5154,4809,4518,4280,4039,3846,30067,3647,21593,16840,13587,11476,9970,8815,7885,21345,8340,3039,1185,497,261,134,39957,39957,8340,3039,1185,497,261,134,21345,49481,7092,6542,6042,5582,5240,4854,4588,4302,4098,3860,29990,3628,21658,16857,13599,11526,9940,8770,7826,21452,8256,3062,1206,512,250,156,39900,39907,8308,3062,1288,550,258,112,21232,33432,5212,4770,4371,4012,3680,3417,3157,2938,2758,2601,20804,2447,14222,11058,9131,7873,6955,6309,5724,0,0,0,0,0,0,0,7534,142466,0,0,0,0,0,0,0
50149,7083,6425,5950,5508,5103,4800,4529,4275,4048,3838,30518,3643,21448,16533,13746,11543,9991,8848,7917,21070,7954,3077,1421,694,432,280,39410,39410,7954,3077,1421,694,432,280,21070,50139,7138,6508,6020,5568,5154,4848,4539,4291,4077,3855,30337,3667,21440,16680,13822,11582,10046,8822,8008,21142,7994,3068,1378,634,418,306,39655,39762,8090,3106,1270,706,438,316,20470,32984,5246,4849,4467,4125,3770,3460,3207,2986,2766,2585,20550,2445,14255,11011,9129,7904,7006,6273,5704,0,0,0,0,0,0,0,8755,141245,0,0,0,0,0,0,0
49784,7148,6512,5950,5567,5175,4828,4547,4315,4085,3864,30160,3645,21450,16763,13677,11694,10046,8811,7899,21363,7990,3032,1271,583,314,185,40011,40013,7990,3032,1271,583,314,185,21363,49901,7235,6607,6057,5601,5251,4897,4585,4327,4141,3917,30290,3731,21482,16671,13671,11711,10003,8757,7923,21436,8066,3136,1286,592,286,170,40144,39516,8316,2980,1212,610,264,220,21263,33275,5230,4757,4343,3984,3656,3376,3100,2922,2752,2577,20965,2439,14528,11389,9391,8091,7111,6381,5749,0,0,0,0,0,0,0,8144,141856,0,0,0,0,0,0,0
49273,7148,6561,6040,5567,5194,4855,4562,4320,4094,3884,29616,3683,21297,16810,13836,11690,10087,8831,7878,21504,8208,2993,1178,468,243,134,40118,40120,8208,2993,1178,468,243,134,21504,49295,7030,6448,5912,5450,5088,4778,4494,4244,4028,3848,29497,3642,21424,16806,13790,11656,9990,8732,7718,21302,8236,3044,1132,488,212,120,40045,40492,8274,2900,1122,556,232,114,21454,33410,5081,4676,4309,3931,3636,3372,3115,2916,2723,2524,21005,2399,14560,11265,9283,7956,6930,6171,5582,0,0,0,0,0,0,0,6574,143426,0,0,0,0,0,0,0
49766,7128,6541,6028,5571,5163,4848,4591,4320,4087,3882,29935,3715,21067,16158,13214,11282,9766,8727,7857,21011,8005,3032,1369,756,477,315,39219,39221,8005,3032,1369,756,477,315,21011,49708,7172,6578,6058,5596,5172,4854,4560,4326,4072,3902,30046,3720,21222,16166,13114,11236,9736,8762,7874,20912,8120,3106,1356,690,436,328,39094,39661,7894,3120,1366,756,466,300,20854,33110,5166,4706,4314,3989,3673,3431,3149,2943,2756,2571,20747,2420,14416,11175,9209,7884,6974,6264,5658,0,0,0,0,0,0,0,7877,142123,0,0,0,0,0,0,0
