range_-100_-95,range_-105_-100,range_-10_-5,range_-110_-105,range_-115_-110,range_-120_-115,range_-125_-120,range_-130_-125,range_-135_-130,range_-140_-135,range_-145_-140,range_-150_-145,range_-155_-150,range_-15_-10,range_-160_-155,range_-165_-160,range_-170_-165,range_-175_-170,range_-180_-175,range_-185_-180,range_-190_-185,range_-195_-190,range_-200_-195,range_-20_-15,range_-25_-20,range_-30_-25,range_-35_-30,range_-40_-35,range_-45_-40,range_-50_-45,range_-55_-50,range_-5_0,range_-60_-55,range_-65_-60,range_-70_-65,range_-75_-70,range_-80_-75,range_-85_-80,range_-90_-85,range_-95_-90,range_0_5,range_100_105,range_105_110,range_10_15,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_15_20,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_5_10,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100
5,4,1855,3,2,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,327,169,99,67,55,28,24,17,10450,10,20,11,11,4,7,7,7,59682,2,2,11197,2,1,2,1,0,0,1,1,2,0,1951,0,0,1,0,0,0,0,687,361,183,123,80,39,26,21,61731,13,9,6,11,11,4,8,7
29,24,3438,19,18,14,10,12,14,20,9,5,19,1410,10,6,4,9,9,6,5,5,7,741,459,285,196,127,104,79,63,13752,76,44,52,41,33,31,30,13,56174,25,19,12275,19,18,17,14,15,16,13,8,11,7,3086,7,7,12,4,8,5,4,1321,725,407,297,184,138,112,96,53191,71,64,49,46,32,24,34,29
10,12,2641,5,6,7,8,3,5,3,7,1,4,1113,2,0,1,0,0,0,0,0,0,592,343,227,137,126,105,81,57,12363,35,32,29,20,20,9,16,9,57888,10,7,12130,6,8,5,6,6,5,1,4,3,0,2557,1,0,0,0,0,0,2,1151,612,371,235,147,122,82,72,56283,65,52,40,30,22,22,9,15
1,1,2225,0,0,1,1,2,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,418,209,125,74,40,23,19,18,10767,15,12,8,7,4,3,1,2,57428,4,1,12370,1,0,0,1,1,3,0,0,0,0,2384,0,0,0,0,0,0,0,909,430,231,121,68,46,25,23,61144,16,9,8,12,8,5,7,1
1,0,1519,0,1,1,2,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,295,138,83,56,38,29,17,18,9989,15,9,7,8,2,2,1,1,60631,0,0,10762,0,0,0,0,0,0,0,0,0,0,1705,0,0,0,0,0,0,0,602,287,160,92,58,44,32,20,62756,21,12,8,7,4,4,1,2
1,7,2159,3,3,2,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,397,240,145,94,73,56,32,14,11465,13,8,4,5,7,7,2,0,57891,1,0,12279,0,2,0,2,0,0,0,0,0,0,2266,0,0,0,0,0,0,0,942,427,232,145,126,79,47,32,59851,23,17,13,6,9,1,8,1
1,2,1919,2,0,0,0,0,0,0,2,0,0,696,0,2,0,0,0,0,0,0,0,375,247,153,116,87,68,54,28,10721,24,17,15,8,2,0,1,3,60300,2,4,10959,3,1,1,0,2,2,0,1,0,0,1782,0,0,0,0,0,0,0,723,396,235,159,109,65,63,42,60488,35,22,23,12,7,11,4,6
3,0,1999,0,1,2,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,424,259,145,80,65,38,31,14,11189,11,11,4,5,4,3,4,2,60441,2,0,11088,0,0,0,0,0,0,0,0,0,0,2031,0,0,0,0,0,0,0,780,367,242,149,95,66,33,16,59546,20,13,11,8,8,2,8,1
2,1,2356,0,1,1,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,572,318,176,126,76,62,57,41,11502,23,23,8,7,6,6,3,2,57951,2,0,11708,0,1,1,0,0,0,0,0,0,0,2365,0,0,0,0,0,0,0,977,527,333,182,122,88,52,54,59112,44,24,19,16,15,10,3,5
1,1,2143,1,0,0,0,0,1,0,0,1,0,960,0,0,0,1,1,0,1,0,0,526,321,216,157,110,85,71,35,11002,36,26,23,12,10,12,4,2,59466,5,1,10917,0,2,0,3,2,0,1,0,0,0,2166,0,0,0,0,0,0,0,923,515,357,220,148,90,82,68,59097,45,36,22,18,21,18,10,8
6,4,2930,8,6,7,1,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,603,337,205,123,90,68,59,52,13075,40,30,21,17,8,6,5,4,57518,10,6,12233,0,6,5,5,2,2,1,1,0,0,2917,0,0,0,0,0,0,0,1111,566,335,219,132,92,75,72,55680,33,32,24,17,15,12,11,9
3,8,2378,3,1,4,3,5,0,0,4,0,1,935,0,1,0,0,1,0,2,0,1,441,297,205,136,103,82,77,67,11641,36,39,30,31,14,9,8,7,56033,13,5,13127,6,1,4,5,3,2,1,2,1,0,2571,2,1,0,0,2,1,0,918,503,301,255,145,96,70,78,59063,47,32,31,33,23,17,18,10
16,5,2613,14,22,9,13,8,5,3,7,1,11,1090,8,6,4,7,4,5,2,4,6,524,328,209,157,120,94,62,66,11875,60,47,53,29,28,20,27,16,56926,22,18,12337,22,9,13,15,9,7,8,6,16,11,2604,11,12,7,12,4,4,5,994,560,305,197,157,102,84,73,57410,64,67,42,50,27,27,19,19
0,0,2101,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,452,210,148,81,58,27,15,14,11334,4,3,0,0,0,0,0,0,60243,0,2,11162,0,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,0,810,411,239,151,95,43,24,17,59332,11,5,4,2,3,0,0,2
0,0,2031,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,384,173,75,64,29,24,14,6,12019,7,2,1,1,0,1,1,0,61258,0,0,11099,0,0,0,0,0,0,0,0,0,0,1938,0,0,0,0,0,0,0,648,356,199,105,48,25,15,4,58730,10,7,3,7,2,0,0,0
2,1,2281,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,495,273,171,112,84,60,40,33,11470,24,17,10,6,10,8,6,1,58571,3,4,11657,1,1,0,0,0,0,0,0,0,0,2335,0,0,0,0,0,0,0,911,444,253,153,111,74,64,53,59275,32,28,15,13,9,6,6,6
3,1,1840,1,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,382,220,164,117,79,57,32,28,9923,16,20,20,12,7,8,6,3,58249,3,6,11895,1,3,1,1,2,0,0,0,0,0,1993,0,0,0,0,0,0,0,782,432,295,160,97,65,67,38,62169,30,15,17,6,5,5,5,5
3,1,2005,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,380,238,119,84,54,27,16,16,11374,20,6,6,5,2,4,4,2,61289,0,1,10418,0,2,0,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,748,369,193,131,82,40,30,22,59504,17,14,10,4,13,4,2,1
3,1,2166,9,5,2,3,3,1,1,2,1,2,754,1,0,0,2,0,0,0,0,0,347,187,109,80,61,36,42,19,11048,14,11,9,9,6,8,5,7,58279,9,6,12361,3,1,3,1,0,0,2,2,2,2,2296,0,1,0,2,1,1,2,762,332,208,123,77,42,51,36,60342,29,19,13,7,8,9,8,6
89,98,4863,109,89,80,64,64,56,46,40,55,28,2744,28,48,30,32,31,26,29,19,15,1993,1376,1040,810,671,484,452,351,12836,316,248,218,207,174,141,119,114,43835,107,101,12570,87,84,65,59,58,61,45,35,35,35,4892,31,40,36,24,30,28,31,2881,1887,1312,1031,806,674,522,461,43106,367,298,269,222,185,179,134,127
3,5,4482,5,4,5,2,1,1,0,1,0,0,1870,0,0,0,0,0,0,0,0,0,944,506,311,190,140,109,75,65,15916,49,42,32,16,19,15,15,4,51646,11,6,14962,4,4,1,2,2,2,1,0,1,1,4196,0,0,0,0,0,0,0,1757,906,487,297,205,129,96,74,50132,60,50,38,26,29,19,12,17
3,4,2093,4,1,4,1,1,1,1,0,0,0,695,1,0,1,1,0,0,1,0,0,339,212,114,80,58,53,34,27,12750,33,21,15,18,13,10,13,13,60995,5,7,11252,5,7,2,5,3,0,2,0,4,3,1904,2,0,2,1,0,0,2,699,368,201,131,99,53,55,29,57424,27,25,13,13,12,10,9,8
0,0,954,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,87,38,16,3,8,5,0,2,9665,0,0,0,0,0,0,0,0,67569,0,0,8133,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,235,62,36,17,6,7,3,2,62043,1,0,0,0,0,0,0,0
0,0,378,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,23,6,3,2,1,0,0,0,7046,0,0,0,0,0,0,0,0,69287,0,0,6344,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,76,21,13,0,0,2,2,0,66359,0,0,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,90,61,33,12,10,15,3,7,7682,2,0,0,0,0,0,0,0,69607,0,0,6235,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,194,68,52,25,12,14,6,5,64443,2,4,1,0,0,0,0,0
0,0,511,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,28,11,9,2,0,0,0,0,7444,0,0,0,0,0,0,0,0,72377,0,0,5364,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,112,43,18,5,4,1,0,0,63548,0,0,0,0,0,0,0,0
0,0,266,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,28,8,5,3,1,0,0,0,6175,0,0,0,0,0,0,0,0,70437,0,0,5364,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,90,25,10,6,0,0,0,0,67209,0,0,0,0,0,0,0,0
0,0,505,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,109,62,30,22,12,10,10,8,6909,0,3,2,0,2,0,2,0,70234,2,0,5627,0,2,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,168,100,47,44,17,15,14,12,65339,0,3,4,2,1,0,0,0
5,2,505,2,0,1,1,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,104,63,61,34,39,22,24,20,7330,11,5,7,10,5,7,3,3,72104,3,1,5187,0,1,1,1,0,1,0,0,1,0,438,0,0,0,0,0,0,0,177,113,74,48,34,31,25,15,63214,15,12,10,8,19,5,8,3
0,0,482,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,112,65,44,42,24,27,13,15,6909,13,7,7,7,4,2,0,2,71471,1,0,5307,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,199,133,72,53,42,28,22,11,64208,14,8,6,11,0,6,4,3
0,2,329,0,2,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,50,26,16,11,8,8,8,3,6871,6,0,2,1,3,0,1,1,71849,0,2,5173,0,1,1,1,1,0,0,0,0,0,269,0,0,0,0,0,0,0,96,49,21,15,10,9,6,5,65016,6,3,4,2,3,3,1,2
0,0,465,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,44,23,15,10,4,0,0,0,7748,0,0,0,0,0,0,0,0,73103,0,0,5112,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,101,48,28,11,7,1,2,1,62767,0,0,0,0,0,0,0,0
1,2,480,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,84,47,24,32,16,27,14,7,6928,6,2,3,7,3,3,4,7,69766,3,1,6050,1,0,0,0,2,1,0,0,0,0,438,0,0,0,0,0,0,0,155,59,44,30,22,20,10,13,65493,11,11,9,3,7,8,7,2
0,0,438,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,100,71,34,26,21,15,9,6,6973,7,4,1,0,0,0,0,0,70629,0,0,5669,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,175,105,71,43,19,14,13,15,64929,6,7,2,1,0,0,0,0
0,0,669,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,164,98,49,22,13,3,5,3,7453,0,1,0,1,1,2,0,0,72510,0,0,5115,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,310,151,69,45,32,14,7,2,62301,5,4,2,0,0,0,0,0
0,0,497,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,84,31,12,5,1,3,0,0,6498,0,0,0,0,0,0,0,0,69126,0,0,6060,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,176,76,38,16,9,3,1,3,66602,1,0,0,0,0,0,0,0
0,0,447,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,90,53,26,13,4,1,0,0,7042,0,0,0,0,0,0,0,0,69955,0,0,5663,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,133,88,47,25,15,3,0,2,65767,1,0,0,0,0,0,0,0
0,0,329,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,57,24,13,10,12,6,8,6,6108,3,3,0,0,2,0,0,0,70289,1,0,5340,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,116,53,33,18,9,6,2,3,67061,3,1,2,2,1,4,2,3
1,1,339,1,0,0,0,0,1,1,0,1,1,122,0,0,0,0,0,0,0,0,0,70,47,24,21,11,9,11,7,5658,7,7,2,0,3,0,1,1,67693,1,4,5876,1,0,0,2,0,1,0,0,0,0,366,0,0,0,0,0,0,0,126,64,34,36,27,12,13,5,69369,7,6,4,2,0,1,1,2
0,0,343,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,30,12,0,2,1,0,0,0,5498,0,0,0,0,0,0,0,0,67852,0,0,5905,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,85,36,14,2,2,0,0,0,69745,0,0,0,0,0,0,0,0
0,1,300,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,87,66,37,29,28,32,18,6,4598,10,4,4,3,5,1,1,1,63043,2,0,7344,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,144,83,69,37,30,24,28,17,73326,14,9,9,6,4,4,1,1
1,0,599,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,164,118,69,65,49,34,25,7,5726,8,7,10,2,9,3,3,1,63238,2,4,7615,3,0,1,2,0,1,0,0,0,1,692,1,0,1,0,0,0,0,278,168,110,79,47,46,24,21,70410,21,12,7,5,7,4,3,0
0,0,470,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,91,55,41,35,13,23,18,9,6410,5,3,6,1,1,0,0,0,69368,1,1,5659,1,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,169,65,39,35,39,24,18,11,66774,8,7,1,4,1,1,2,0
0,0,568,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,101,48,30,13,11,7,2,5,6019,0,1,0,1,0,2,1,0,68768,0,0,5761,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,203,105,66,29,18,13,7,3,67409,3,1,0,2,0,0,0,0
0,0,421,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,82,29,32,20,17,12,11,5,6263,3,2,4,1,1,0,0,0,70954,0,0,5220,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,185,69,37,24,17,13,11,12,65959,6,3,3,0,3,1,0,1
4,2,525,2,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,133,71,32,24,18,20,15,9,5846,8,3,4,1,5,1,1,1,66781,2,2,6507,3,2,1,1,0,0,0,0,0,0,596,0,0,0,0,0,0,0,241,120,69,49,30,11,16,9,68558,6,8,6,4,2,3,3,1
0,0,272,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,43,35,32,17,10,16,7,5,6230,0,1,2,0,0,0,0,0,69960,0,0,5573,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,89,39,43,34,22,19,6,6,67168,8,3,1,0,0,0,0,0
0,0,402,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,79,50,42,23,12,18,8,4,5789,2,1,0,0,0,0,0,0,68666,0,0,5626,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,154,68,47,31,17,23,10,7,68365,11,6,1,0,0,0,0,0
0,0,339,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,34,14,8,1,0,0,0,0,5930,0,0,0,0,0,0,0,0,71200,0,0,5088,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,95,31,18,4,1,0,0,0,66815,0,0,0,0,0,0,0,0
1,1,401,6,1,1,1,1,1,0,0,0,0,140,0,0,0,0,0,0,0,0,0,84,43,21,30,13,12,13,6,6621,7,3,9,6,7,3,2,1,70884,1,1,5352,1,3,1,0,1,0,0,0,0,0,412,0,1,0,1,0,0,0,147,65,35,17,26,23,13,13,65532,10,7,4,1,4,4,2,1
0,0,548,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,86,48,26,7,5,3,0,0,6951,0,0,0,0,0,0,0,0,71559,0,0,5347,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,213,80,43,22,17,8,3,1,64314,0,0,0,0,0,0,0,0
2,0,505,2,0,0,2,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,137,82,55,49,31,37,27,18,6439,11,6,6,6,6,3,2,2,69096,5,4,5826,2,2,1,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,219,121,79,75,51,34,24,21,66245,20,15,4,7,4,4,1,6
0,0,518,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,125,75,49,38,13,12,6,4,6683,3,4,0,0,2,1,1,0,69721,0,0,5911,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,237,118,68,40,26,13,10,8,65539,4,5,2,1,0,0,0,0
0,0,616,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,140,90,67,39,30,14,13,17,6260,12,8,2,5,5,4,0,0,67887,2,2,6166,1,0,0,2,0,0,0,0,0,0,585,0,1,0,1,0,0,0,255,128,74,58,41,30,21,14,67111,21,2,7,9,3,2,5,0
0,0,567,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,101,68,38,18,7,1,0,0,6635,0,0,0,0,0,0,0,0,68069,0,0,6317,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,179,93,52,36,30,8,4,0,66972,0,0,0,0,0,0,0,0
0,2,535,0,0,2,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,111,64,51,27,27,18,10,11,6306,6,4,1,4,3,2,0,0,68122,1,2,6086,1,2,1,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,210,101,74,44,42,24,21,13,67295,6,3,4,3,2,2,0,0
0,1,540,1,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,99,60,38,34,24,22,8,5,6286,5,5,4,2,2,0,2,3,65554,0,0,7098,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,173,92,65,53,45,33,22,14,68913,11,4,4,3,3,3,1,1
0,0,534,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,77,50,28,10,9,2,1,1,5700,0,0,0,0,0,0,0,0,64571,0,0,7363,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,175,84,58,26,9,11,2,2,70498,0,0,0,0,0,0,0,0
0,0,417,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,84,46,25,20,11,6,2,1,5595,3,1,3,0,3,0,0,0,63519,0,0,7720,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,135,76,44,29,20,10,10,8,71572,5,2,1,1,1,2,0,0
0,0,380,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,49,35,15,3,2,1,3,0,5343,0,0,0,0,0,0,0,0,64065,0,0,7413,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,121,52,29,17,7,4,3,5,71856,1,0,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,76,55,21,8,1,0,0,0,6686,0,0,0,0,0,0,0,0,67260,0,0,6896,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,231,110,29,19,12,4,1,0,67113,0,0,0,0,0,0,0,0
0,0,823,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,185,96,49,25,12,10,1,2,6613,1,2,0,0,0,0,0,0,64229,0,0,7790,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,326,185,112,63,28,29,12,2,68180,0,0,0,0,0,0,0,0
0,0,493,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,114,55,33,26,22,7,7,4,6225,0,0,0,0,0,0,0,0,67521,0,0,6324,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,185,102,66,42,21,17,5,5,68046,2,1,2,1,0,0,0,0
0,0,566,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,50,21,8,7,3,2,1,0,7064,0,0,0,0,0,0,0,0,68220,0,0,6593,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,154,56,27,9,7,3,4,1,66530,0,0,0,0,0,0,0,0
0,0,488,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,68,52,33,21,8,14,2,7,7261,3,5,2,4,1,0,0,0,69218,0,0,6302,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,162,77,50,17,15,15,11,10,65484,3,5,3,3,1,2,1,0
1,2,420,0,1,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,31,20,17,7,8,6,4,5,6671,7,6,1,2,3,6,1,1,67755,2,1,6526,1,2,1,1,0,0,0,0,0,0,411,0,0,0,0,0,0,0,93,43,22,13,7,9,3,3,67772,6,6,3,2,2,4,2,2
1,0,393,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,80,61,40,32,25,15,10,10,5081,8,8,9,4,4,0,2,2,60535,0,1,8662,2,1,2,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,156,79,49,43,29,27,18,18,73869,16,9,6,8,2,3,1,3
0,0,394,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,50,18,7,3,3,1,2,1,5601,1,3,1,2,0,0,0,0,64367,0,0,7635,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,130,51,24,8,10,6,3,6,71084,4,0,0,0,0,0,0,0
1,0,751,0,0,1,0,1,0,0,1,1,1,311,0,0,0,0,0,0,0,0,0,173,121,75,60,37,32,20,16,6248,4,7,3,5,1,1,1,2,61578,2,2,8466,1,1,3,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,331,220,124,62,48,43,28,25,70310,16,9,5,8,2,0,2,2
