num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_8,num_peaks_9
5084,4674,4291,6178,5574
5158,4708,4319,6233,5658
5154,4742,4320,6261,5645
5045,4635,4247,6181,5560
5130,4686,4333,6208,5624
5261,4826,4437,6394,5768
5126,4701,4296,6258,5640
5140,4667,4322,6231,5594
5186,4718,4331,6276,5659
5135,4721,4314,6226,5651
5069,4670,4280,6159,5569
5167,4723,4308,6229,5647
5170,4767,4377,6265,5686
5208,4811,4436,6234,5673
5149,4718,4342,6238,5628
5048,4611,4223,6147,5555
5154,4727,4379,6222,5638
5288,4847,4454,6303,5753
5221,4762,4379,6329,5756
5124,4724,4371,6217,5641
5168,4726,4380,6217,5664
5163,4755,4348,6188,5623
5222,4796,4429,6213,5678
5251,4814,4429,6292,5713
5209,4766,4381,6229,5668
5203,4785,4365,6276,5708
5329,4909,4486,6351,5800
5210,4771,4330,6234,5705
5252,4843,4461,6313,5736
5327,4848,4423,6285,5776
5173,4755,4362,6236,5674
5311,4876,4460,6328,5799
5257,4789,4412,6294,5740
5204,4790,4392,6200,5648
5132,4700,4376,6197,5635
5257,4851,4425,6289,5707
5309,4862,4471,6314,5778
5350,4906,4545,6339,5797
5241,4827,4438,6368,5772
5315,4838,4451,6289,5779
5214,4779,4427,6243,5683
5320,4887,4477,6253,5768
5274,4862,4461,6301,5743
5180,4751,4365,6188,5655
5218,4822,4436,6202,5693
5204,4798,4430,6240,5671
5221,4802,4437,6283,5713
5278,4801,4426,6365,5792
5426,4981,4564,6371,5844
5316,4889,4509,6274,5739
5317,4880,4479,6322,5767
5305,4874,4431,6325,5800
5229,4801,4412,6217,5692
5201,4758,4440,6163,5647
5428,4961,4545,6355,5837
5362,4917,4556,6389,5855
5410,5033,4622,6364,5876
5282,4858,4474,6224,5712
5421,5029,4633,6341,5808
5289,4856,4450,6286,5729
5363,4947,4541,6294,5788
5378,4926,4545,6272,5801
5410,5005,4591,6428,5877
5336,4898,4495,6393,5807
5363,4961,4560,6338,5859
5337,4902,4508,6317,5780
5324,4881,4507,6355,5792
5328,4899,4511,6310,5775
5431,5037,4583,6380,5870
5260,4824,4421,6285,5741
5326,4932,4493,6308,5795
5304,4886,4498,6242,5759
5329,4923,4527,6269,5764
5377,4930,4490,6312,5827
5424,5004,4594,6406,5896
5380,4949,4564,6359,5820
5429,4976,4545,6363,5874
5369,4966,4509,6315,5803
5336,4910,4497,6264,5781
5384,4980,4566,6361,5849
5430,5006,4582,6357,5847
5391,4953,4529,6343,5853
5381,4939,4506,6314,5831
5306,4889,4507,6254,5759
5488,5066,4659,6405,5933
5306,4859,4466,6283,5790
5426,5026,4589,6337,5858
5446,5002,4607,6369,5889
5328,4906,4495,6245,5757
5368,4959,4600,6299,5809
5441,5065,4688,6400,5855
5352,4969,4584,6344,5778
5360,4953,4542,6328,5798
5402,5014,4577,6311,5836
5413,4971,4581,6355,5863
5436,5028,4616,6373,5896
5435,5008,4592,6410,5915
5557,5107,4703,6467,5975
5482,5034,4633,6417,5950
5481,5074,4640,6342,5900
5396,4928,4512,6393,5877
5374,4951,4568,6319,5802
5339,4935,4552,6268,5792
5378,4977,4570,6367,5864
5493,5080,4665,6344,5888
5333,4921,4511,6310,5788
5491,5078,4707,6403,5911
5478,5085,4663,6397,5933
5431,5059,4659,6346,5882
5424,5016,4611,6392,5916
5400,5004,4609,6341,5837
5429,5018,4589,6312,5879
5402,4986,4575,6271,5814
5275,4905,4518,6170,5701
5534,5104,4684,6365,5921
5526,5119,4673,6392,5937
5356,4943,4521,6241,5798
5321,4915,4551,6231,5714
5419,4991,4574,6343,5831
5481,5017,4596,6392,5905
5459,5061,4654,6300,5859
5544,5110,4693,6433,5980
5499,5013,4577,6339,5901
5485,5050,4645,6455,5951
5424,4984,4559,6394,5890
5513,5111,4722,6361,5914
5519,5103,4686,6405,5936
5363,4934,4571,6298,5791
5552,5089,4694,6431,5939
5494,5099,4717,6353,5915
5611,5190,4738,6450,6021
5417,4978,4595,6298,5885
5532,5117,4693,6374,5939
5430,5039,4643,6273,5810
5509,5110,4710,6350,5940
5493,5061,4672,6349,5907
5443,5039,4657,6301,5864
5454,5063,4659,6295,5842
5520,5080,4667,6372,5928
5404,5022,4624,6278,5840
5462,5020,4593,6333,5891
5497,5115,4690,6393,5902
5504,5107,4700,6353,5920
5457,5039,4593,6344,5870
5551,5150,4747,6385,5971
5575,5182,4766,6399,5981
5463,5051,4640,6359,5889
5524,5103,4685,6261,5877
5578,5191,4817,6390,5955
5601,5170,4710,6454,6004
5443,5049,4669,6280,5860
5533,5111,4726,6373,5941
5444,5031,4610,6348,5864
5595,5179,4723,6411,5998
5537,5114,4700,6348,5911
5359,4959,4561,6237,5797
5501,5108,4717,6344,5909
5579,5182,4791,6391,5955
5487,5096,4663,6379,5913
5502,5088,4670,6387,5939
5467,5059,4635,6344,5888
5504,5122,4721,6354,5933
5403,4995,4579,6293,5843
5529,5124,4711,6420,5942
5477,5066,4715,6331,5875
5660,5230,4804,6447,6049
5585,5181,4689,6425,5983
5509,5109,4691,6337,5952
5341,4939,4551,6183,5722
5501,5050,4627,6394,5922
5552,5163,4748,6419,5979
5547,5118,4709,6399,5962
5487,5093,4669,6362,5921
5406,5001,4558,6282,5822
5536,5116,4704,6443,5979
5655,5259,4790,6471,6047
5519,5122,4698,6353,5927
5620,5223,4802,6341,6000
5919,5539,5048,6595,6235
5653,5236,4840,6425,6063
5530,5142,4713,6306,5884
5550,5157,4735,6382,5951
5406,5003,4562,6315,5841
5506,5087,4628,6329,5900
5408,4987,4605,6272,5821
5560,5094,4648,6429,5976
5570,5161,4717,6454,6003
5367,4984,4560,6303,5803
5448,5049,4609,6305,5857
5479,5035,4628,6378,5911
5425,5041,4620,6342,5846
5369,4915,4540,6264,5796
5401,4966,4593,6355,5831
5515,5064,4651,6397,5929
5397,5023,4650,6328,5807
5508,5076,4685,6386,5937
5430,5011,4635,6351,5856
5442,5057,4671,6381,5895
5445,5027,4606,6316,5845
5485,5052,4663,6416,5924
5312,4906,4491,6253,5738
5505,5059,4621,6380,5896
5348,4959,4590,6237,5773
5544,5153,4712,6415,5947
5379,5024,4585,6283,5799
5318,4887,4497,6321,5789
5388,5008,4640,6284,5808
5522,5126,4687,6387,5955
5305,4917,4504,6256,5752
5391,4990,4568,6248,5804
5453,5032,4629,6341,5876
5410,4991,4558,6353,5854
5434,5041,4627,6344,5870
5395,4999,4574,6419,5879
5505,5074,4642,6372,5914
5400,5016,4625,6240,5826
5526,5096,4685,6403,5946
5579,5141,4702,6367,5953
5499,5071,4669,6336,5920
5588,5181,4769,6453,6014
5408,4978,4569,6314,5876
5414,5044,4639,6271,5808
5468,5061,4653,6347,5902
5381,4949,4541,6345,5813
5499,5119,4688,6311,5891
5490,5051,4664,6402,5910
5489,5092,4689,6328,5881
5478,5102,4657,6382,5900
5402,5002,4631,6301,5867
5544,5096,4689,6393,5975
5476,5090,4690,6358,5925
5437,5019,4623,6341,5878
5594,5160,4753,6458,6031
5535,5099,4681,6390,5953
5491,5070,4681,6382,5921
5451,5041,4665,6312,5901
5419,5030,4649,6317,5849
5467,5049,4630,6352,5885
5533,5123,4681,6422,5947
5553,5139,4717,6436,5967
5468,5103,4676,6212,5820
5556,5122,4717,6432,5963
5514,5088,4674,6392,5930
5392,4994,4596,6329,5859
5422,5027,4619,6252,5836
5561,5172,4763,6394,5940
5579,5133,4737,6353,5956
5477,5088,4671,6289,5883
5565,5103,4693,6393,6007
5468,5037,4595,6407,5935
5586,5176,4741,6410,5983
5487,5069,4625,6438,5956
5481,5110,4732,6398,5926
5504,5099,4673,6366,5950
5479,5063,4643,6357,5925
5410,4981,4626,6303,5834
5475,5047,4657,6315,5873
5487,5098,4723,6329,5869
5582,5156,4722,6407,6007
5584,5180,4738,6428,5985
5563,5126,4720,6411,5962
5622,5209,4769,6500,6047
5572,5118,4661,6453,5975
5479,5100,4686,6363,5900
5441,5030,4593,6289,5850
5478,5057,4673,6329,5879
5523,5093,4690,6386,5935
5394,4991,4588,6285,5824
5574,5160,4714,6456,5986
5620,5233,4820,6451,6051
5554,5146,4735,6339,5930
5718,5301,4872,6566,6145
5547,5129,4661,6389,5951
5556,5139,4748,6377,5939
5694,5293,4869,6502,6084
5538,5133,4696,6348,5919
5609,5205,4807,6446,6018
5618,5219,4787,6454,6002
5455,5048,4660,6320,5870
5637,5267,4821,6444,6026
5546,5125,4698,6396,5952
5584,5186,4758,6431,5987
5602,5230,4798,6431,5998
5605,5212,4809,6423,6013
5598,5187,4760,6448,6000
5510,5075,4690,6342,5907
5579,5153,4733,6424,5972
5762,5345,4906,6509,6127
5559,5185,4774,6426,5962
5697,5281,4866,6512,6063
5500,5088,4675,6366,5922
5486,5095,4660,6296,5897
5583,5136,4705,6375,5931
5574,5159,4711,6470,6007
5562,5155,4726,6385,5943
5500,5116,4718,6308,5893
5648,5223,4795,6479,6061
5494,5121,4698,6313,5908
5678,5296,4916,6443,6044
5606,5210,4751,6399,5996
5509,5131,4708,6338,5936
5567,5171,4779,6368,5979
5600,5210,4790,6427,6020
5487,5054,4646,6337,5910
5581,5170,4764,6382,5940
5576,5142,4754,6414,5962
5488,5066,4672,6298,5882
5527,5161,4739,6351,5949
5615,5190,4774,6441,6026
5560,5174,4793,6344,5919
5555,5184,4796,6340,5939
5536,5139,4727,6353,5931
5697,5290,4865,6432,6056
5555,5142,4707,6394,5946
5445,5035,4613,6282,5843
5683,5302,4889,6462,6076
5521,5143,4727,6340,5927
5525,5153,4742,6308,5896
5565,5142,4711,6385,5967
5618,5256,4809,6385,5989
5515,5121,4713,6355,5907
5521,5124,4705,6283,5874
5642,5247,4851,6431,5993
5507,5125,4706,6383,5948
5536,5132,4703,6375,5950
5564,5126,4707,6396,5952
5629,5225,4793,6444,6025
5631,5203,4803,6418,5984
5568,5181,4776,6404,5978
5436,5034,4663,6212,5802
5518,5077,4687,6350,5920
5561,5177,4745,6345,5964
5556,5125,4711,6366,5965
5678,5248,4732,6438,6059
5638,5215,4801,6444,6005
5721,5304,4871,6457,6088
6059,5671,5195,6739,6414
5780,5360,4895,6566,6213
5596,5161,4712,6485,6008
5432,4994,4581,6369,5894
5377,4939,4536,6390,5856
5187,4681,4310,6270,5702
5266,4852,4467,6353,5778
5178,4726,4296,6263,5684
5122,4702,4305,6214,5624
5160,4696,4303,6253,5668
5149,4747,4362,6270,5634
5327,4911,4467,6359,5818
5193,4769,4394,6239,5697
5166,4752,4327,6231,5632
5197,4730,4344,6300,5684
5088,4665,4288,6257,5613
5250,4792,4411,6339,5722
5060,4606,4207,6194,5614
5131,4691,4341,6217,5635
5175,4712,4346,6314,5683
5209,4735,4348,6295,5696
5077,4622,4232,6243,5612
5148,4658,4281,6305,5663
5120,4684,4308,6257,5659
5193,4751,4352,6250,5670
5126,4696,4314,6215,5604
5047,4631,4249,6176,5557
5155,4759,4358,6286,5695
5195,4759,4386,6302,5706
5142,4715,4334,6184,5614
5104,4681,4302,6213,5625
5085,4627,4268,6212,5608
5154,4682,4293,6248,5644
5161,4726,4301,6215,5650
5157,4684,4285,6250,5637
5185,4722,4339,6262,5677
5204,4754,4383,6266,5686
5205,4767,4388,6257,5654
5173,4760,4387,6188,5633
5176,4751,4355,6288,5690
5165,4748,4361,6226,5674
5156,4759,4349,6233,5642
5162,4758,4382,6186,5630
5136,4704,4299,6267,5671
5187,4739,4361,6274,5647
5089,4681,4300,6124,5561
5089,4627,4209,6217,5584
5154,4687,4279,6210,5638
5265,4845,4421,6240,5713
5308,4900,4487,6320,5772
5225,4771,4374,6264,5699
5283,4854,4449,6346,5749
5259,4846,4415,6289,5727
5274,4844,4422,6265,5720
5137,4687,4325,6220,5640
5131,4744,4359,6185,5581
5199,4786,4401,6252,5674
5197,4771,4387,6200,5657
5200,4785,4397,6122,5597
5246,4834,4452,6222,5704
5270,4845,4422,6266,5736
5394,5010,4615,6389,5870
5350,4902,4498,6363,5845
5320,4899,4485,6399,5859
5287,4849,4444,6260,5743
5248,4796,4387,6262,5699
5247,4851,4434,6279,5728
5301,4825,4407,6362,5795
5269,4840,4435,6187,5670
5396,4934,4503,6363,5861
5255,4828,4405,6327,5786
5351,4915,4532,6348,5814
5379,4913,4520,6355,5850
5306,4887,4490,6288,5780
5260,4832,4441,6276,5705
5310,4897,4506,6309,5775
5361,4938,4544,6295,5790
5276,4834,4428,6383,5788
5272,4865,4494,6273,5750
5203,4791,4420,6234,5706
5234,4806,4432,6246,5705
5256,4843,4499,6249,5746
5394,4978,4540,6355,5881
5364,4933,4508,6348,5838
5292,4864,4452,6294,5771
5333,4929,4525,6280,5762
5323,4920,4504,6256,5763
5299,4889,4514,6273,5735
5392,4951,4565,6344,5839
5321,4919,4529,6240,5726
5384,4972,4572,6432,5872
5491,5033,4587,6319,5912
5383,4992,4573,6327,5837
5319,4861,4465,6284,5766
5337,4972,4556,6385,5841
5460,5053,4692,6302,5875
5326,4924,4521,6304,5776
5383,4959,4538,6286,5809
5340,4955,4569,6269,5792
5435,5021,4597,6355,5873
5378,4978,4597,6320,5831
5364,4931,4534,6233,5739
5450,4990,4588,6366,5875
5442,5054,4606,6383,5873
5455,5021,4570,6356,5904
5409,4981,4613,6356,5841
5403,4999,4584,6297,5824
5369,4965,4548,6374,5824
5343,4931,4492,6248,5756
5444,4993,4560,6401,5864
5415,5010,4591,6342,5858
5392,4995,4583,6312,5814
5372,4967,4556,6334,5843
5381,4986,4556,6300,5835
5440,4996,4567,6362,5878
5434,5052,4633,6398,5936
5454,5036,4632,6400,5893
5478,5017,4601,6434,5926
5466,5043,4604,6382,5893
5567,5151,4725,6489,5989
5543,5104,4680,6450,5988
5436,5033,4584,6369,5896
5286,4875,4494,6278,5759
5368,4961,4555,6326,5805
5420,5005,4566,6320,5825
5377,4949,4549,6248,5772
5426,4987,4535,6377,5893
5407,5014,4600,6304,5833
5433,5047,4648,6348,5895
5512,5100,4702,6379,5911
5456,5035,4653,6417,5934
5437,5044,4647,6324,5871
5546,5147,4723,6339,5934
5348,4961,4607,6233,5760
5608,5183,4757,6464,6013
5472,5008,4613,6423,5921
5458,5029,4611,6362,5892
5476,5050,4661,6379,5884
5405,4963,4511,6364,5861
5506,5117,4673,6394,5935
5521,5113,4721,6439,5972
5464,5060,4666,6359,5905
5494,5103,4676,6364,5906
5519,5093,4689,6390,5954
5471,5092,4695,6401,5916
5496,5073,4686,6408,5924
5395,4965,4567,6321,5830
5511,5085,4684,6412,5925
5424,5004,4625,6342,5861
5508,5117,4688,6386,5922
5539,5089,4688,6354,5921
5485,5050,4642,6385,5922
5575,5171,4726,6456,6019
5463,5020,4616,6347,5906
5540,5060,4622,6405,5946
5398,4996,4599,6268,5804
5452,5065,4705,6321,5893
5513,5044,4635,6385,5927
5470,5104,4685,6379,5892
5504,5086,4694,6376,5916
5446,5040,4619,6385,5927
5520,5088,4695,6317,5910
5554,5142,4714,6462,6002
5500,5090,4649,6385,5954
5432,5032,4597,6284,5857
5477,5080,4659,6307,5859
5457,5068,4660,6281,5858
5568,5135,4727,6434,6014
5433,5041,4658,6305,5857
5406,5042,4625,6319,5823
5423,5000,4588,6386,5864
5599,5164,4746,6468,6028
5452,5030,4623,6270,5861
5490,5112,4685,6377,5937
5501,5098,4696,6366,5913
5592,5196,4772,6398,5987
5481,5091,4705,6315,5862
5571,5147,4710,6410,5981
5578,5172,4786,6422,5998
5521,5124,4735,6393,5943
5398,4972,4586,6278,5807
5419,5027,4606,6302,5832
5536,5092,4645,6385,5950
5505,5128,4730,6354,5908
5540,5131,4715,6379,5950
5592,5189,4788,6425,6007
5541,5164,4720,6353,5956
5599,5208,4826,6379,5993
5520,5130,4715,6326,5905
5504,5082,4647,6369,5929
5531,5077,4693,6419,5986
5482,5066,4653,6335,5886
5646,5222,4769,6496,6076
5582,5175,4792,6380,5975
5567,5201,4764,6358,5934
5647,5181,4736,6491,6026
5542,5109,4685,6466,5986
5459,5068,4643,6353,5886
5629,5167,4742,6451,6030
5509,5072,4698,6321,5884
5529,5124,4724,6384,5944
5424,5035,4646,6304,5864
5559,5129,4723,6423,5986
5532,5115,4717,6330,5929
5600,5158,4741,6443,5997
5447,5083,4660,6275,5840
5561,5139,4731,6447,6023
5555,5133,4708,6444,5965
5485,5095,4701,6346,5908
5570,5184,4732,6429,5961
5663,5248,4798,6471,6037
5721,5309,4899,6508,6118
5520,5128,4746,6392,5954
5488,5062,4657,6273,5861
5541,5150,4743,6394,5943
5594,5154,4722,6463,6036
5504,5122,4697,6343,5939
5541,5148,4685,6401,5972
5666,5263,4806,6441,6052
5447,5047,4609,6320,5864
5567,5158,4696,6442,5989
5473,5065,4632,6323,5871
5479,5091,4672,6310,5870
5593,5192,4752,6456,6016
5587,5179,4749,6427,5990
5486,5077,4665,6394,5945
5662,5237,4805,6580,6128
5942,5467,5034,6703,6343
5632,5229,4803,6489,6058
5663,5242,4811,6461,6052
5377,4928,4480,6403,5835
5320,4836,4447,6366,5789
5218,4772,4388,6307,5714
5231,4804,4386,6309,5743
5200,4772,4337,6329,5673
5167,4748,4401,6225,5689
5165,4715,4346,6206,5627
5197,4783,4387,6255,5665
